"","Season","Team","Round.Number","Season.Points","Score.For","Score.Against","Percentage","Ladder.Position"
"332",2017,"West Coast",19,40,1609,1520,1.05855263157895,8
"333",2017,"Footscray",19,40,1528,1524,1.00262467191601,9
"334",2017,"Essendon",19,36,1774,1656,1.07125603864734,10
"335",2017,"St Kilda",19,36,1542,1595,0.966771159874608,11
"336",2017,"Hawthorn",19,34,1515,1706,0.888042203985932,12
"337",2017,"Collingwood",19,30,1604,1655,0.969184290030211,13
"338",2017,"Fremantle",19,28,1335,1688,0.790876777251185,14
"339",2017,"Gold Coast",19,24,1528,1854,0.824163969795038,15
"340",2017,"North Melbourne",19,20,1629,1831,0.889677771709448,16
"341",2017,"Carlton",19,20,1301,1646,0.790400972053463,17
"342",2017,"Brisbane Lions",19,16,1476,2105,0.701187648456057,18
"343",2017,"Adelaide",20,58,2141,1513,1.41506939854594,1
"344",2017,"GWS",20,52,1836,1592,1.15326633165829,2
"345",2017,"Richmond",20,52,1649,1472,1.12024456521739,3
"346",2017,"Geelong",20,50,1881,1634,1.15116279069767,4
"347",2017,"Port Adelaide",20,44,1839,1501,1.22518321119254,5
"348",2017,"Sydney",20,44,1729,1475,1.17220338983051,6
"349",2017,"Footscray",20,44,1631,1613,1.01115933044017,7
"350",2017,"Essendon",20,40,1858,1732,1.07274826789838,8
"351",2017,"West Coast",20,40,1704,1623,1.04990757855823,9
"352",2017,"Melbourne",20,40,1752,1672,1.04784688995215,10
"353",2017,"St Kilda",20,40,1645,1690,0.973372781065089,11
"354",2017,"Collingwood",20,34,1715,1712,1.0017523364486,12
"355",2017,"Hawthorn",20,34,1579,1799,0.877709838799333,13
"356",2017,"Fremantle",20,32,1425,1755,0.811965811965812,14
"357",2017,"Gold Coast",20,24,1595,1944,0.820473251028807,15
"358",2017,"North Melbourne",20,20,1686,1942,0.868177136972194,16
"359",2017,"Carlton",20,20,1377,1730,0.795953757225433,17
"360",2017,"Brisbane Lions",20,16,1565,2208,0.708786231884058,18
"361",2017,"Adelaide",21,62,2264,1593,1.42121782799749,1
"362",2017,"GWS",21,56,1941,1649,1.17707701637356,2
"363",2017,"Geelong",21,54,1961,1700,1.15352941176471,3
"364",2017,"Richmond",21,52,1715,1552,1.10502577319588,4
"365",2017,"Sydney",21,48,1872,1514,1.23645970937913,5
"366",2017,"Port Adelaide",21,48,1937,1572,1.23218829516539,6
"367",2017,"Melbourne",21,44,1848,1744,1.05963302752294,7
"368",2017,"West Coast",21,44,1804,1706,1.05744431418523,8
"369",2017,"Footscray",21,44,1688,1718,0.982537834691502,9
"370",2017,"Essendon",21,40,1938,1855,1.04474393530997,10
"371",2017,"St Kilda",21,40,1717,1786,0.961366181410974,11
"372",2017,"Hawthorn",21,38,1695,1888,0.897775423728814,12
"373",2017,"Collingwood",21,34,1786,1810,0.986740331491713,13
"374",2017,"Fremantle",21,32,1464,1898,0.771338250790306,14
"375",2017,"Gold Coast",21,24,1679,2086,0.804889741131352,15
"376",2017,"North Melbourne",21,20,1775,2058,0.862487852283771,16
"377",2017,"Carlton",21,20,1460,1830,0.797814207650273,17
"378",2017,"Brisbane Lions",21,20,1707,2292,0.744764397905759,18
"379",2017,"Adelaide",22,62,2344,1676,1.39856801909308,1
"380",2017,"GWS",22,60,2022,1709,1.18314803978935,2
"381",2017,"Geelong",22,58,2031,1759,1.15463331438317,3
"382",2017,"Richmond",22,56,1870,1603,1.16656269494697,4
"383",2017,"Port Adelaide",22,52,2033,1651,1.23137492428831,5
"384",2017,"Sydney",22,52,1955,1594,1.22647427854454,6
"385",2017,"Melbourne",22,48,1952,1835,1.06376021798365,7
"386",2017,"Essendon",22,44,2028,1912,1.06066945606695,8
"387",2017,"West Coast",22,44,1864,1787,1.04308897593733,9
"388",2017,"St Kilda",22,44,1844,1864,0.989270386266094,10
"389",2017,"Footscray",22,44,1767,1814,0.974090407938258,11
"390",2017,"Hawthorn",22,38,1765,1965,0.898218829516539,12
"391",2017,"Collingwood",22,34,1845,1880,0.981382978723404,13
"392",2017,"Fremantle",22,32,1515,2053,0.737944471505114,14
"393",2017,"Carlton",22,24,1537,1900,0.808947368421053,15
"394",2017,"Gold Coast",22,24,1736,2176,0.797794117647059,16
"395",2017,"North Melbourne",22,20,1853,2185,0.848054919908467,17
"396",2017,"Brisbane Lions",22,20,1798,2396,0.750417362270451,18
"397",2017,"Adelaide",23,62,2415,1776,1.3597972972973,1
"398",2017,"Geelong",23,62,2134,1818,1.17381738173817,2
"399",2017,"Richmond",23,60,1992,1684,1.18289786223278,3
"400",2017,"GWS",23,60,2081,1812,1.14845474613687,4
"401",2017,"Port Adelaide",23,56,2168,1671,1.29742669060443,5
"402",2017,"Sydney",23,56,2093,1651,1.26771653543307,6
"403",2017,"Essendon",23,48,2135,2004,1.06536926147705,7
"404",2017,"West Coast",23,48,1964,1858,1.05705059203445,8
"405",2017,"Melbourne",23,48,2035,1934,1.05222337125129,9
"406",2017,"Footscray",23,44,1857,1913,0.970726607422896,10
"407",2017,"St Kilda",23,44,1925,1986,0.969284994964753,11
"408",2017,"Hawthorn",23,42,1864,2055,0.90705596107056,12
"409",2017,"Collingwood",23,38,1944,1963,0.990320937340805,13
"410",2017,"Fremantle",23,32,1607,2160,0.743981481481481,14
"411",2017,"North Melbourne",23,24,1983,2264,0.875883392226148,15
"412",2017,"Carlton",23,24,1594,2038,0.782139352306182,16
"413",2017,"Gold Coast",23,24,1756,2311,0.759844223279965,17
"414",2017,"Brisbane Lions",23,20,1877,2526,0.743072050673001,18
"415",2018,"GWS",1,4,133,51,2.6078431372549,1
"416",2018,"Port Adelaide",1,4,110,60,1.83333333333333,2
"417",2018,"Hawthorn",1,4,101,67,1.50746268656716,3
"418",2018,"Gold Coast",1,4,55,39,1.41025641025641,4
"419",2018,"Sydney",1,4,115,86,1.33720930232558,5
"420",2018,"St Kilda",1,4,107,82,1.30487804878049,6
"421",2018,"Richmond",1,4,121,95,1.27368421052632,7
"422",2018,"Essendon",1,4,99,87,1.13793103448276,8
"423",2018,"Geelong",1,4,97,94,1.03191489361702,9
"424",2018,"Melbourne",1,0,94,97,0.969072164948454,10
"425",2018,"Adelaide",1,0,87,99,0.878787878787879,11
"426",2018,"Carlton",1,0,95,121,0.785123966942149,12
"427",2018,"Brisbane Lions",1,0,82,107,0.766355140186916,13
"428",2018,"West Coast",1,0,86,115,0.747826086956522,14
"429",2018,"North Melbourne",1,0,39,55,0.709090909090909,15
"430",2018,"Collingwood",1,0,67,101,0.663366336633663,16
"431",2018,"Fremantle",1,0,60,110,0.545454545454545,17
"432",2018,"Footscray",1,0,51,133,0.383458646616541,18
"433",2018,"GWS",2,8,228,130,1.75384615384615,1
